prompt,completion
"company: Athelas -- specialities: Remote Patient Monitoring, Revenue Cycle Management -- industries: Biotechnology -- tagline: Digital tools made for modern healthcare organizations.\n -- summary:",Athelas is a biotech company with a focus on revenue cycle management and remote patient monitoring XXX
"company: LinkedIn -- specialities: Online Professional Network, Jobs, People Search, Company Search, Address Book, Advertising, Professional Identity, Group Collaboration, Recruiting -- industries: Computer Software -- tagline: None\n -- summary:",Linkedin is a computer software with a focus on recruiting and advertising XXX
"company: Starbucks -- specialities: Coffee, Food, Juice, Tea, Benefits, Technology, Retail, Design -- industries: Retail -- tagline: Join us. Inspire with every cup.\n -- summary:",Starbucks is a retail store that sells coffee and tea XXX
"company: Banc of California -- specialities: Personal Banking, Business Banking, Commercial Lending, Commercial Real Estate, Entertainment Banking, Health Care Banking, Non-Profit Banking, Manufacturing, Commercial Banking, SBA Loans, Treasury Management, Specialty Banking, Education Banking, Commercial Real Estate -- industries: Banking -- tagline: None\n -- summary:","Banc is a banking platform that serves commercial, personal, healthcare, non-profits, and more XXX"
company: Alastor -- specialities:  -- industries: Financial Services -- tagline: Crypto-native strategic and financial advisors to builders and investors in Web3\n -- summary:,Alastor is a financial service for builders and investors in web3 XXX
"company: UC Irvine School of Medicine -- specialities: Doctor of Medicine degree, Master Of Business Administration degree in genetic counseling, Combined Doctor of Medicine and Doctor of Philosophy degree, Combined Doctor of Medicine and Master of Business Administration degree -- industries: Higher Education -- tagline: Discover | Teach | Heal\n -- summary:",UC Irvine Medicine helps people get degrees in medicine XXX
"company: Loom -- specialities: Video Communication, video platform, video management, video publishing, video streaming, online video, enterprise tech, education tech, remote, productivity, work communication, remote tools, video recording, remote communication, communication software -- industries: Online Media -- tagline: We're bringing video messaging to work and empowering everyone to communicate more effectively, wherever they are.\n -- summary:",Loom is an online media platform that lets enterprises share video via a remote tool XXX
"company: Scale AI -- specialities: Computer Vision, Data Annotation, Sensor Fusion, Machine Learning, Autonomous Driving, APIs, Ground Truth Data, Training Data, Deep Learning, Robotics, Drones, NLP, Document Processing -- industries: Computer Software -- tagline: The Data Platform for AI: High quality training and validation data for AI applications.\n -- summary:","Scale AI is a data platform for machine learning, autonomous driving, and deep learning XXX"
"company: NerdWallet -- specialities: Personal Finance, Financial Advice -- industries: Consumer Services -- tagline: None\n -- summary:",Nerdwallet is a consumer service for financial advice XXX
"company: Airtable -- specialities:  -- industries: Computer Software -- tagline: Build powerful work apps, without coding\n -- summary:","Airtable is a computer software for building powerful work apps, without coding XXX"
"company: Notion -- specialities:  -- industries: Computer Software -- tagline: Your all-in-one workspace for tasks, notes, wikis, calendars, and team collaboration.\n -- summary:",Notion is a software for all-in-one team workplace XXX
company: IKEA -- specialities:  -- industries: Retail -- tagline: The IKEA vision is to create a better everyday life for the many people\n -- summary:,IKEA is a retail store that makes everyone's lives better XXX
company: Nextdoor -- specialities:  -- industries: Internet -- tagline: Connecting neighbors to each other - and to everything nearby.\n -- summary:,Nextdoor is an internet business and connects neighbors together XXX
company: Uniswap Labs -- specialities:  -- industries: Computer Software -- tagline: Creators of the Uniswap Protocol and Uniswap interface.\n -- summary:,Uniswap is a computer software that built the Uniswap Protocol XXX
company: Spotify -- specialities:  -- industries: Music -- tagline: Passionate music fans. Innovative tech pros. Perfect harmony. Join our band.\n -- summary:,Spotify is a music company for passionate music fans XXX
"company: Netflix -- specialities: Revolutionizing the way people watch TV shows and movies! -- industries: Entertainment -- tagline: Where you come to do the best work of your life. Follow @WeAreNetflix on Twitter, IG, Facebook, & Youtube for more\n -- summary:",Netflix changes the way people watch TV shwos and movies XXX
company: Pixar Animation Studios -- specialities: Animation -- industries: Music -- tagline: None\n -- summary:,Pixar is an animation studio which also makes beautiful music XXX
"company: Slack -- specialities:  -- industries: Internet -- tagline: On a mission to make your working life simpler, more pleasant and more productive. \n -- summary:","Slack is an internet business that is on a mission to make working life more pleasant, more productive, and simpler XXX"
"company: Human Capital -- specialities: High Growth Startups, Software Engineers, Technical Recruiting, University Recruiting, Career Coaching, Venture Capital -- industries: Venture Capital & Private Equity -- tagline: A venture firm for builders\n -- summary:",Human Capital helps engineers and technical talent build amazing companies XXX
company: Scribble Ventures -- specialities:  -- industries: Venture Capital & Private Equity -- tagline: Every big idea starts with a scribble.\n -- summary:,Scribble Ventures is a venture capital firm and private equity fund XXX
"company: Retool -- specialities:  -- industries: Internet -- tagline: Build custom internal tools, fast.\n -- summary:","Retool is an Internet company that helps with building custom internal tools, fast XXX"
"company: Solva Technologies -- specialities: Technologies, Research And Development , Logistics Services, Supply Chain , Fleet Optimization -- industries: Transportation/Trucking/Railroad -- tagline: A complete toolkit for last-mile delivery\n -- summary:",Solva Technologies is a transportation logistics platform for building last-mile delivery XXX
company: Jaras | جرس -- specialities:  -- industries: Marketing & Advertising -- tagline: Ding! Ding! I صوتك ينشاف\n -- summary:,Jaras is a marketing and advertising company with a focus on digital advertising XXX
"company: Hulah -- specialities: mobile app, dating, online dating, internet -- industries: Internet -- tagline: One Conversation Away...\n\n -- summary:",Hulah is an internet company that built a dating app and and internet dating business XXX
"company: Roche -- specialities: biotechnology, innovation, personalized healthcare, great place to work, diagnostics, pharmaceuticals, research, healthcare, personalised healthcare, diabetes care, genomics, healthcare technology, big data, Science -- industries: Biotechnology -- tagline: Doing now what patients need next\n -- summary:",Roche harnesses big data to offer healthcare to all via personalized medicine XXX
"company: Microsoft -- specialities: Business Software, Developer Tools, Home & Educational Software, Tablets, Search, Advertising, Servers, Windows Operating System, Windows Applications & Platforms, Smartphones, Cloud Computing, Quantum Computing, Future of Work, Productivity, AI, Artificial Intelligence, Machine Learning, Laptops, Mixed Reality, Virtual Reality, Gaming, Developers, IT Professional -- industries: Computer Software -- tagline: None\n -- summary:","Microsoft is a computer software company with a speciality in productivity, AI, VR, and mixed reality XXX"
"company: Urban Outdoors -- specialities:  -- industries: Leisure, Travel & Tourism -- tagline: Bringing city dwellers to the great outdoors\n -- summary:",Urban Outdoors is a leisure travel company with a focus on the great outdoors XXX
ompany: Varda Space Industries -- specialities:  -- industries: Defense & Space -- tagline: None\n -- summary:,Varda is a business focused on defense and space tech XXX
"company: Discord -- specialities: Video Games, Text Chat, VOIP -- industries: Computer Software -- tagline: Imagine a place\n -- summary:",Discord is a computer software company that builds video and chat streaming for gaming XXX
"company: Bill & Melinda Gates Foundation -- specialities: Global Health, Global Development, US Education, Philanthropy -- industries: Non-profit Organization Management -- tagline: We are a nonprofit organization fighting poverty, disease, and inequity around the world.\n -- summary:","The Bill & Melinda Gates Foundation is a nonprofit that fights poverty, disease, and inequity around the world XXX"
